Codi,Nom,Data,Precipitacio_mm
C6,Castellnou de Seana,2026-05-04,10.4
C7,Tàrrega,2026-05-04,6.2
C8,Cervera,2026-05-04,7.4
C9,Mas de Barberans,2026-05-04,8.0
CC,Orís,2026-05-04,7.4
CD,la Seu d'Urgell - Bellestar,2026-05-04,16.5
CE,els Hostalets de Pierola,2026-05-04,1.7
CG,Molló - Fabert,2026-05-04,8.8
CI,Sant Pau de Segúries,2026-05-04,7.2
CJ,Organyà,2026-05-04,32.7
CL,Sant Salvador de Guardiola,2026-05-04,24.7
CP,Sant Romà d'Abella,2026-05-04,20.2
CQ,Vilanova de Meià,2026-05-04,9.3
CR,la Quar,2026-05-04,16.3
CT,el Pont de Suert,2026-05-04,14.3
CW,l'Espluga de Francolí,2026-05-04,14.6
CY,Muntanyola,2026-05-04,9.4
D1,Margalef,2026-05-04,2.1
D2,Vacarisses,2026-05-04,1.8
D3,Vallirana,2026-05-04,4.0
D4,Roses,2026-05-04,0.0
D5,Barcelona - Observatori Fabra,2026-05-04,1.7
D6,Portbou - coll dels Belitres,2026-05-04,9.4
D7,Vinebre,2026-05-04,3.1
D8,Horta de Sant Joan,2026-05-04,4.8
D9,el Vendrell,2026-05-04,1.1
DB,el Perelló,2026-05-04,6.4
DF,la Bisbal d'Empordà,2026-05-04,1.9
DG,Núria (1.971 m),2026-05-04,9.8
DI,Font-rubí,2026-05-04,4.9
DJ,Banyoles,2026-05-04,3.2
DK,Torredembarra,2026-05-04,1.5
DL,Illa de Buda,2026-05-04,1.4
DN,Anglès,2026-05-04,1.9
DO,Castell d'Aro,2026-05-04,1.8
DP,Das - Aeròdrom,2026-05-04,14.2
DQ,Vila-rodona,2026-05-04,5.0
H1,Òdena,2026-05-04,25.5
J5,Pantà de Darnius - Boadella,2026-05-04,13.4
KE,Pantà de Sau,2026-05-04,5.9
KP,Fogars de la Selva,2026-05-04,5.0
KX,la Roca del Vallès - ETAP Cardedeu,2026-05-04,2.1
M6,Sant Joan de les Abadesses,2026-05-04,7.4
MQ,Cardona,2026-05-04,20.2
MR,Pantà de Siurana,2026-05-04,4.2
MS,Castellar de n'Hug - el Clot del Moro,2026-05-04,11.2
MV,Guixers - Valls,2026-05-04,12.0
MW,Navès,2026-05-04,15.2
U2,Sant Pere Pescador,2026-05-04,0.0
U3,Sant Martí Sarroca,2026-05-04,4.6
U4,Castellnou de Bages,2026-05-04,10.1
U6,Vinyols i els Arcs - Cambrils,2026-05-04,2.3
U7,Aldover,2026-05-04,7.9
U9,l'Aldea,2026-05-04,4.0
UA,l'Ametlla de Mar,2026-05-04,6.2
UB,la Tallada d'Empordà,2026-05-04,1.3
UE,Torroella de Montgrí,2026-05-04,3.8
UF,PN del Garraf - el Rascler,2026-05-04,0.6
UH,el Montmell,2026-05-04,8.6
UI,Gisclareny,2026-05-04,13.9
UJ,Santa Coloma de Queralt,2026-05-04,18.3
UK,Sant Pere de Ribes - PN del Garraf,2026-05-04,0.8
UM,la Granadella,2026-05-04,5.1
UN,Cassà de la Selva,2026-05-04,3.6
UO,Fornells de la Selva,2026-05-04,2.7
UP,Cabrils,2026-05-04,3.0
UQ,Dosrius - PN Montnegre Corredor,2026-05-04,2.4
US,les Cases d'Alcanar,2026-05-04,5.6
UU,Amposta,2026-05-04,1.6
UW,els Alfacs,2026-05-04,1.9
UX,Ulldecona - els Valentins,2026-05-04,15.7
UY,Os de Balaguer - el Monestir d'Avellanes,2026-05-04,9.0
V1,Vallfogona de Balaguer,2026-05-04,5.5
V4,Montesquiu,2026-05-04,10.5
V5,Perafita,2026-05-04,11.0
V8,el Poal,2026-05-04,4.8
VA,Ascó,2026-05-04,5.1
VB,Benissanet,2026-05-04,1.4
VC,Pantà de Riba-roja,2026-05-04,2.3
VD,el Canós,2026-05-04,7.9
VH,Gimenells,2026-05-04,18.6
VK,Raimat,2026-05-04,14.3
VM,Vilanova de Segrià,2026-05-04,11.4
VO,Lladurs,2026-05-04,11.9
VP,Pinós,2026-05-04,9.2
VQ,Constantí,2026-05-04,5.7
VS,Lac Redon (2.245 m),2026-05-04,7.1
VU,Rellinars,2026-05-04,1.7
VV,Sant Llorenç Savall,2026-05-04,4.9
VX,Tagamanent - PN del Montseny,2026-05-04,4.8
VY,Nulles,2026-05-04,4.5
VZ,Espolla,2026-05-04,7.7
W1,Castelló d'Empúries,2026-05-04,0.6
W4,Vilafranca del Penedès - la Granada,2026-05-04,5.6
