Codi,Nom,Data,Precipitacio_mm
WR,Torroja del Priorat,2026-06-02,0.0
WS,Viladrau,2026-06-02,1.1
WT,Malgrat de Mar,2026-06-02,0.1
WU,Badalona - Museu,2026-06-02,0.0
WV,Guardiola de Berguedà,2026-06-02,6.4
WW,Artés,2026-06-02,0.0
WX,Camarasa,2026-06-02,0.0
WZ,Cunit,2026-06-02,0.0
X1,Falset,2026-06-02,0.0
X3,Alguaire,2026-06-02,0.0
X4,Barcelona - el Raval,2026-06-02,0.5
X5,PN dels Ports,2026-06-02,0.0
X6,Baldomar,2026-06-02,0.0
X7,Torres de Segre,2026-06-02,0.0
X8,Barcelona - Zona Universitària,2026-06-02,0.2
X9,Caldes de Montbui,2026-06-02,0.0
XA,la Panadella,2026-06-02,0.0
XB,la Llacuna,2026-06-02,0.0
XC,Castellbisbal,2026-06-02,0.0
XD,Ulldemolins,2026-06-02,0.0
XE,Tarragona - Complex Educatiu,2026-06-02,0.0
XF,Sabadell - Parc Agrari,2026-06-02,0.0
XG,Parets del Vallès,2026-06-02,0.0
XH,Sort,2026-06-02,0.0
XI,Mollerussa,2026-06-02,0.0
XJ,Girona,2026-06-02,0.0
XK,Puig Sesolles (1.666 m),2026-06-02,0.0
XL,el Prat de Llobregat,2026-06-02,0.0
XM,els Alamús,2026-06-02,0.0
XN,Seròs,2026-06-02,0.0
XO,Vic,2026-06-02,2.0
XP,Gandesa,2026-06-02,0.0
XQ,Tremp,2026-06-02,0.0
XR,Prades,2026-06-02,0.0
XS,Santa Coloma de Farners,2026-06-02,4.1
XT,Solsona,2026-06-02,0.0
XU,Canyelles,2026-06-02,0.0
XV,Sant Cugat del Vallès - CAR,2026-06-02,0.0
XX,Anglesola - Tornabous,2026-06-02,0.0
XY,Alcarràs,2026-06-02,0.0
XZ,Torroella de Fluvià,2026-06-02,0.7
Y4,Alinyà,2026-06-02,0.1
Y5,Navata,2026-06-02,2.0
Y6,Tivissa,2026-06-02,0.0
YA,Puigcerdà,2026-06-02,0.1
YB,Olot,2026-06-02,30.9
YC,la Pobla de Segur,2026-06-02,0.0
YD,les Borges Blanques,2026-06-02,0.0
YE,Massoteres,2026-06-02,0.0
YF,Miami Platja,2026-06-02,0.0
YG,Tírvia,2026-06-02,0.0
YH,Pujalt,2026-06-02,0.0
YJ,Lleida - la Femosa,2026-06-02,0.0
YK,Terrassa,2026-06-02,0.0
YL,Riudecanyes,2026-06-02,0.0
YM,Granollers,2026-06-02,0.0
YN,Vielha - Elipòrt,2026-06-02,0.0
YO,Sant Sadurní d'Anoia,2026-06-02,0.1
YP,Palafrugell,2026-06-02,0.0
YQ,Port de Barcelona - ZAL Prat,2026-06-02,0.1
YR,Vilanova i la Geltrú,2026-06-02,0.0
YS,Cabanes,2026-06-02,2.5
YT,Bonabé (1.691 m),2026-06-02,0.0
YU,Cantonigròs,2026-06-02,7.7
YV,Mataró,2026-06-02,0.0
YX,Batea,2026-06-02,0.0
YY,Viladecans - les Filipines,2026-06-02,0.0
Z1,Bonaigua (2.262 m),2026-06-02,3.3
Z2,Boí (2.537 m),2026-06-02,0.0
Z3,Malniu (2.229 m),2026-06-02,0.3
Z5,Certascan (2.398 m),2026-06-02,0.0
Z6,Sasseuva (2.226 m),2026-06-02,0.0
Z7,Espot (2.519 m),2026-06-02,0.0
Z9,Cadí Nord (2.145 m) - Prat d'Aguiló,2026-06-02,1.6
ZB,Salòria (2.451 m),2026-06-02,0.0
ZC,Ulldeter (2.413 m),2026-06-02,0.0
ZE,el Port del Comte (2.288 m),2026-06-02,5.3
C6,Castellnou de Seana,2026-06-03,0.0
C7,Tàrrega,2026-06-03,0.0
C8,Cervera,2026-06-03,0.0
C9,Mas de Barberans,2026-06-03,0.0
CC,Orís,2026-06-03,0.0
CD,la Seu d'Urgell - Bellestar,2026-06-03,0.0
CE,els Hostalets de Pierola,2026-06-03,0.0
CG,Molló - Fabert,2026-06-03,0.0
