Codi,Nom,Data,Precipitacio_mm
C6,Castellnou de Seana,2026-03-06,7.8
C7,Tàrrega,2026-03-06,8.8
C8,Cervera,2026-03-06,15.5
C9,Mas de Barberans,2026-03-06,64.3
CC,Orís,2026-03-06,28.5
CD,la Seu d'Urgell - Bellestar,2026-03-06,6.3
CE,els Hostalets de Pierola,2026-03-06,27.4
CG,Molló - Fabert,2026-03-06,120.1
CI,Sant Pau de Segúries,2026-03-06,102.3
CJ,Organyà,2026-03-06,6.9
CL,Sant Salvador de Guardiola,2026-03-06,20.8
CP,Sant Romà d'Abella,2026-03-06,5.7
CQ,Vilanova de Meià,2026-03-06,7.5
CR,la Quar,2026-03-06,21.8
CT,el Pont de Suert,2026-03-06,6.3
CW,l'Espluga de Francolí,2026-03-06,24.4
CY,Muntanyola,2026-03-06,39.3
D1,Margalef,2026-03-06,17.4
D2,Vacarisses,2026-03-06,25.8
D3,Vallirana,2026-03-06,35.8
D4,Roses,2026-03-06,33.8
D5,Barcelona - Observatori Fabra,2026-03-06,27.5
D6,Portbou - coll dels Belitres,2026-03-06,20.9
D7,Vinebre,2026-03-06,22.1
D8,Horta de Sant Joan,2026-03-06,47.3
D9,el Vendrell,2026-03-06,15.4
DB,el Perelló,2026-03-06,33.5
DG,Núria (1.971 m),2026-03-06,27.4
DI,Font-rubí,2026-03-06,43.1
DJ,Banyoles,2026-03-06,51.1
DK,Torredembarra,2026-03-06,26.5
DL,Illa de Buda,2026-03-06,21.5
DN,Anglès,2026-03-06,61.5
DO,Castell d'Aro,2026-03-06,19.9
DP,Das - Aeròdrom,2026-03-06,14.6
DQ,Vila-rodona,2026-03-06,22.2
H1,Òdena,2026-03-06,33.7
J5,Pantà de Darnius - Boadella,2026-03-06,71.8
KE,Pantà de Sau,2026-03-06,69.9
KP,Fogars de la Selva,2026-03-06,30.8
KX,la Roca del Vallès - ETAP Cardedeu,2026-03-06,44.0
M6,Sant Joan de les Abadesses,2026-03-06,79.0
MQ,Cardona,2026-03-06,24.4
MS,Castellar de n'Hug - el Clot del Moro,2026-03-06,28.7
MV,Guixers - Valls,2026-03-06,12.2
MW,Navès,2026-03-06,23.5
U2,Sant Pere Pescador,2026-03-06,25.0
U3,Sant Martí Sarroca,2026-03-06,35.2
U4,Castellnou de Bages,2026-03-06,20.3
U6,Vinyols i els Arcs - Cambrils,2026-03-06,36.2
U7,Aldover,2026-03-06,45.0
U9,l'Aldea,2026-03-06,35.3
UA,l'Ametlla de Mar,2026-03-06,22.2
UB,la Tallada d'Empordà,2026-03-06,32.7
UE,Torroella de Montgrí,2026-03-06,28.0
UF,PN del Garraf - el Rascler,2026-03-06,36.3
UH,el Montmell,2026-03-06,35.2
UI,Gisclareny,2026-03-06,20.8
UJ,Santa Coloma de Queralt,2026-03-06,38.4
UK,Sant Pere de Ribes - PN del Garraf,2026-03-06,24.1
UM,la Granadella,2026-03-06,14.6
UN,Cassà de la Selva,2026-03-06,37.6
UO,Fornells de la Selva,2026-03-06,29.7
UP,Cabrils,2026-03-06,21.5
UQ,Dosrius - PN Montnegre Corredor,2026-03-06,58.2
US,les Cases d'Alcanar,2026-03-06,30.3
UU,Amposta,2026-03-06,31.9
UW,els Alfacs,2026-03-06,9.6
UX,Ulldecona - els Valentins,2026-03-06,45.2
UY,Os de Balaguer - el Monestir d'Avellanes,2026-03-06,7.4
V1,Vallfogona de Balaguer,2026-03-06,3.3
V4,Montesquiu,2026-03-06,26.1
V5,Perafita,2026-03-06,34.5
V8,el Poal,2026-03-06,7.5
VA,Ascó,2026-03-06,25.9
VB,Benissanet,2026-03-06,26.2
VC,Pantà de Riba-roja,2026-03-06,30.9
VD,el Canós,2026-03-06,10.8
VH,Gimenells,2026-03-06,12.9
VK,Raimat,2026-03-06,15.3
VM,Vilanova de Segrià,2026-03-06,8.7
VO,Lladurs,2026-03-06,9.6
