Codi,Nom,Data,Precipitacio_mm
C6,Castellnou de Seana,2026-06-04,0.0
C8,Cervera,2026-06-04,0.7
C9,Mas de Barberans,2026-06-04,0.0
CC,Orís,2026-06-04,67.1
CD,la Seu d'Urgell - Bellestar,2026-06-04,2.0
CE,els Hostalets de Pierola,2026-06-04,12.7
CG,Molló - Fabert,2026-06-04,37.1
CI,Sant Pau de Segúries,2026-06-04,75.4
CJ,Organyà,2026-06-04,8.7
CL,Sant Salvador de Guardiola,2026-06-04,4.1
CP,Sant Romà d'Abella,2026-06-04,2.8
CQ,Vilanova de Meià,2026-06-04,2.0
CR,la Quar,2026-06-04,58.3
CT,el Pont de Suert,2026-06-04,2.2
CW,l'Espluga de Francolí,2026-06-04,34.2
CY,Muntanyola,2026-06-04,25.8
D1,Margalef,2026-06-04,13.3
D2,Vacarisses,2026-06-04,17.8
D3,Vallirana,2026-06-04,13.8
D4,Roses,2026-06-04,15.9
D5,Barcelona - Observatori Fabra,2026-06-04,19.7
D6,Portbou - coll dels Belitres,2026-06-04,23.4
D7,Vinebre,2026-06-04,0.5
D8,Horta de Sant Joan,2026-06-04,0.0
D9,el Vendrell,2026-06-04,3.9
DB,el Perelló,2026-06-04,0.1
DF,la Bisbal d'Empordà,2026-06-04,10.6
DG,Núria (1.971 m),2026-06-04,23.4
DI,Font-rubí,2026-06-04,9.1
DJ,Banyoles,2026-06-04,31.6
DK,Torredembarra,2026-06-04,5.7
DL,Illa de Buda,2026-06-04,0.0
DN,Anglès,2026-06-04,17.0
DO,Castell d'Aro,2026-06-04,22.6
DP,Das - Aeròdrom,2026-06-04,4.7
DQ,Vila-rodona,2026-06-04,6.9
H1,Òdena,2026-06-04,7.2
J5,Pantà de Darnius - Boadella,2026-06-04,21.4
KE,Pantà de Sau,2026-06-04,29.7
KP,Fogars de la Selva,2026-06-04,30.2
KX,la Roca del Vallès - ETAP Cardedeu,2026-06-04,46.4
M6,Sant Joan de les Abadesses,2026-06-04,90.4
MQ,Cardona,2026-06-04,12.5
MR,Pantà de Siurana,2026-06-04,9.4
MS,Castellar de n'Hug - el Clot del Moro,2026-06-04,16.4
MV,Guixers - Valls,2026-06-04,26.8
MW,Navès,2026-06-04,6.6
U2,Sant Pere Pescador,2026-06-04,15.9
U3,Sant Martí Sarroca,2026-06-04,12.4
U4,Castellnou de Bages,2026-06-04,1.4
U6,Vinyols i els Arcs - Cambrils,2026-06-04,1.3
U7,Aldover,2026-06-04,0.5
U9,l'Aldea,2026-06-04,2.5
UA,l'Ametlla de Mar,2026-06-04,0.6
UB,la Tallada d'Empordà,2026-06-04,12.5
UE,Torroella de Montgrí,2026-06-04,11.4
UF,PN del Garraf - el Rascler,2026-06-04,13.8
UH,el Montmell,2026-06-04,10.8
UI,Gisclareny,2026-06-04,14.9
UJ,Santa Coloma de Queralt,2026-06-04,14.1
UK,Sant Pere de Ribes - PN del Garraf,2026-06-04,4.3
UM,la Granadella,2026-06-04,15.8
UN,Cassà de la Selva,2026-06-04,18.1
UO,Fornells de la Selva,2026-06-04,17.0
UP,Cabrils,2026-06-04,20.3
