Codi,Nom,Data,Precipitacio_mm
C6,Castellnou de Seana,2026-03-05,8.2
C7,Tàrrega,2026-03-05,12.6
C8,Cervera,2026-03-05,14.0
C9,Mas de Barberans,2026-03-05,33.2
CC,Orís,2026-03-05,22.6
CD,la Seu d'Urgell - Bellestar,2026-03-05,10.5
CE,els Hostalets de Pierola,2026-03-05,16.8
CG,Molló - Fabert,2026-03-05,51.1
CI,Sant Pau de Segúries,2026-03-05,64.7
CJ,Organyà,2026-03-05,6.7
CL,Sant Salvador de Guardiola,2026-03-05,17.2
CP,Sant Romà d'Abella,2026-03-05,6.2
CQ,Vilanova de Meià,2026-03-05,11.4
CR,la Quar,2026-03-05,26.7
CT,el Pont de Suert,2026-03-05,8.4
CW,l'Espluga de Francolí,2026-03-05,11.3
CY,Muntanyola,2026-03-05,28.4
D1,Margalef,2026-03-05,15.6
D2,Vacarisses,2026-03-05,20.4
D3,Vallirana,2026-03-05,18.3
D4,Roses,2026-03-05,7.3
D5,Barcelona - Observatori Fabra,2026-03-05,19.2
D6,Portbou - coll dels Belitres,2026-03-05,8.1
D7,Vinebre,2026-03-05,15.2
D8,Horta de Sant Joan,2026-03-05,33.0
DB,el Perelló,2026-03-05,19.4
DF,la Bisbal d'Empordà,2026-03-05,7.9
DG,Núria (1.971 m),2026-03-05,34.0
DI,Font-rubí,2026-03-05,31.2
DJ,Banyoles,2026-03-05,29.1
DK,Torredembarra,2026-03-05,21.8
DL,Illa de Buda,2026-03-05,9.4
DN,Anglès,2026-03-05,28.8
DO,Castell d'Aro,2026-03-05,11.5
DP,Das - Aeròdrom,2026-03-05,20.6
DQ,Vila-rodona,2026-03-05,22.9
H1,Òdena,2026-03-05,18.6
J5,Pantà de Darnius - Boadella,2026-03-05,28.8
KE,Pantà de Sau,2026-03-05,36.5
KP,Fogars de la Selva,2026-03-05,19.1
KX,la Roca del Vallès - ETAP Cardedeu,2026-03-05,22.1
M6,Sant Joan de les Abadesses,2026-03-05,44.3
MQ,Cardona,2026-03-05,11.4
MS,Castellar de n'Hug - el Clot del Moro,2026-03-05,25.9
MV,Guixers - Valls,2026-03-05,17.9
MW,Navès,2026-03-05,11.8
U2,Sant Pere Pescador,2026-03-05,10.0
U3,Sant Martí Sarroca,2026-03-05,20.0
U4,Castellnou de Bages,2026-03-05,13.2
U6,Vinyols i els Arcs - Cambrils,2026-03-05,14.3
U7,Aldover,2026-03-05,15.5
U9,l'Aldea,2026-03-05,19.4
UA,l'Ametlla de Mar,2026-03-05,19.1
UB,la Tallada d'Empordà,2026-03-05,10.9
UE,Torroella de Montgrí,2026-03-05,8.7
UF,PN del Garraf - el Rascler,2026-03-05,34.6
UH,el Montmell,2026-03-05,27.6
UI,Gisclareny,2026-03-05,41.6
UJ,Santa Coloma de Queralt,2026-03-05,22.7
UK,Sant Pere de Ribes - PN del Garraf,2026-03-05,23.2
UM,la Granadella,2026-03-05,11.2
UN,Cassà de la Selva,2026-03-05,22.0
UO,Fornells de la Selva,2026-03-05,11.1
UP,Cabrils,2026-03-05,17.9
UQ,Dosrius - PN Montnegre Corredor,2026-03-05,37.8
US,les Cases d'Alcanar,2026-03-05,44.1
UU,Amposta,2026-03-05,25.2
UW,els Alfacs,2026-03-05,22.7
UX,Ulldecona - els Valentins,2026-03-05,56.4
UY,Os de Balaguer - el Monestir d'Avellanes,2026-03-05,21.5
V1,Vallfogona de Balaguer,2026-03-05,11.7
V4,Montesquiu,2026-03-05,21.6
V5,Perafita,2026-03-05,25.9
V8,el Poal,2026-03-05,8.2
VA,Ascó,2026-03-05,21.3
VB,Benissanet,2026-03-05,15.6
VC,Pantà de Riba-roja,2026-03-05,14.7
VD,el Canós,2026-03-05,23.2
VH,Gimenells,2026-03-05,8.8
VK,Raimat,2026-03-05,8.3
VM,Vilanova de Segrià,2026-03-05,11.9
VO,Lladurs,2026-03-05,8.7
VP,Pinós,2026-03-05,23.9
VQ,Constantí,2026-03-05,16.4
VS,Lac Redon (2.247 m),2026-03-05,7.3
VU,Rellinars,2026-03-05,4.0
VV,Sant Llorenç Savall,2026-03-05,27.6
VX,Tagamanent - PN del Montseny,2026-03-05,44.3
VY,Nulles,2026-03-05,15.4
VZ,Espolla,2026-03-05,16.9
W1,Castelló d'Empúries,2026-03-05,10.6
W4,Vilafranca del Penedès - la Granada,2026-03-05,18.5
W5,Oliana,2026-03-05,6.4
W8,Blancafort,2026-03-05,8.2
W9,la Vall d'en Bas,2026-03-05,39.1
WA,Oliola,2026-03-05,7.7
WB,Albesa,2026-03-05,13.2
WC,Golmés,2026-03-05,7.3
WG,Algerri,2026-03-05,14.7
WI,Maials,2026-03-05,5.5
WJ,el Masroig,2026-03-05,14.5
WK,Alfarràs,2026-03-05,13.8
WL,Sant Martí de Riucorb,2026-03-05,10.2
WM,Santuari de Queralt,2026-03-05,15.4
WN,Montserrat - Sant Dimes,2026-03-05,19.8
WO,la Bisbal del Penedès,2026-03-05,27.4
WP,Canaletes,2026-03-05,25.2
WQ,Montsec d'Ares (1.572 m),2026-03-05,22.5
WR,Torroja del Priorat,2026-03-05,16.1
WS,Viladrau,2026-03-05,106.1
WT,Malgrat de Mar,2026-03-05,16.4
WU,Badalona - Museu,2026-03-05,16.9
WV,Guardiola de Berguedà,2026-03-05,24.5
WW,Artés,2026-03-05,14.0
WX,Camarasa,2026-03-05,22.2
WZ,Cunit,2026-03-05,19.0
X1,Falset,2026-03-05,22.8
X3,Alguaire,2026-03-05,10.9
X4,Barcelona - el Raval,2026-03-05,19.5
X5,PN dels Ports,2026-03-05,80.2
X6,Baldomar,2026-03-05,8.5
X7,Torres de Segre,2026-03-05,7.5
X8,Barcelona - Zona Universitària,2026-03-05,17.7
