Codi,Nom,Data,Precipitacio_mm
C6,Castellnou de Seana,2026-03-22,0.0
C7,Tàrrega,2026-03-22,0.0
C8,Cervera,2026-03-22,0.0
C9,Mas de Barberans,2026-03-22,0.0
CC,Orís,2026-03-22,2.0
CD,la Seu d'Urgell - Bellestar,2026-03-22,0.0
CE,els Hostalets de Pierola,2026-03-22,0.2
CG,Molló - Fabert,2026-03-22,4.6
CI,Sant Pau de Segúries,2026-03-22,2.6
CJ,Organyà,2026-03-22,0.0
CL,Sant Salvador de Guardiola,2026-03-22,1.2
CP,Sant Romà d'Abella,2026-03-22,1.8
CQ,Vilanova de Meià,2026-03-22,0.1
CR,la Quar,2026-03-22,3.4
CT,el Pont de Suert,2026-03-22,0.0
CW,l'Espluga de Francolí,2026-03-22,0.0
CY,Muntanyola,2026-03-22,1.0
D1,Margalef,2026-03-22,0.0
D2,Vacarisses,2026-03-22,0.2
D3,Vallirana,2026-03-22,0.6
D4,Roses,2026-03-22,8.6
D5,Barcelona - Observatori Fabra,2026-03-22,0.9
D6,Portbou - coll dels Belitres,2026-03-22,12.5
D7,Vinebre,2026-03-22,0.0
D8,Horta de Sant Joan,2026-03-22,0.0
D9,el Vendrell,2026-03-22,0.0
DB,el Perelló,2026-03-22,0.0
DF,la Bisbal d'Empordà,2026-03-22,2.7
DG,Núria (1.971 m),2026-03-22,1.3
DI,Font-rubí,2026-03-22,0.0
DJ,Banyoles,2026-03-22,1.2
DK,Torredembarra,2026-03-22,0.0
DL,Illa de Buda,2026-03-22,0.1
DN,Anglès,2026-03-22,1.0
DO,Castell d'Aro,2026-03-22,0.5
DP,Das - Aeròdrom,2026-03-22,0.0
DQ,Vila-rodona,2026-03-22,0.0
H1,Òdena,2026-03-22,0.1
J5,Pantà de Darnius - Boadella,2026-03-22,9.2
KE,Pantà de Sau,2026-03-22,1.2
KP,Fogars de la Selva,2026-03-22,2.3
KX,la Roca del Vallès - ETAP Cardedeu,2026-03-22,0.1
M6,Sant Joan de les Abadesses,2026-03-22,2.8
MQ,Cardona,2026-03-22,0.2
MR,Pantà de Siurana,2026-03-22,0.0
MS,Castellar de n'Hug - el Clot del Moro,2026-03-22,0.4
MV,Guixers - Valls,2026-03-22,2.1
MW,Navès,2026-03-22,1.2
U2,Sant Pere Pescador,2026-03-22,6.0
U3,Sant Martí Sarroca,2026-03-22,0.0
U4,Castellnou de Bages,2026-03-22,0.7
U6,Vinyols i els Arcs - Cambrils,2026-03-22,0.0
U7,Aldover,2026-03-22,0.0
U9,l'Aldea,2026-03-22,0.2
UA,l'Ametlla de Mar,2026-03-22,0.0
UB,la Tallada d'Empordà,2026-03-22,1.7
UE,Torroella de Montgrí,2026-03-22,1.9
UF,PN del Garraf - el Rascler,2026-03-22,0.0
UH,el Montmell,2026-03-22,0.0
UI,Gisclareny,2026-03-22,0.5
UJ,Santa Coloma de Queralt,2026-03-22,0.0
UK,Sant Pere de Ribes - PN del Garraf,2026-03-22,0.0
UM,la Granadella,2026-03-22,0.0
UN,Cassà de la Selva,2026-03-22,0.2
UO,Fornells de la Selva,2026-03-22,0.1
UP,Cabrils,2026-03-22,0.4
UQ,Dosrius - PN Montnegre Corredor,2026-03-22,0.3
US,les Cases d'Alcanar,2026-03-22,0.1
UU,Amposta,2026-03-22,0.1
UW,els Alfacs,2026-03-22,0.0
UX,Ulldecona - els Valentins,2026-03-22,0.0
UY,Os de Balaguer - el Monestir d'Avellanes,2026-03-22,0.0
V1,Vallfogona de Balaguer,2026-03-22,0.0
V4,Montesquiu,2026-03-22,4.0
V5,Perafita,2026-03-22,2.1
V8,el Poal,2026-03-22,0.0
VA,Ascó,2026-03-22,0.0
VB,Benissanet,2026-03-22,0.1
VC,Pantà de Riba-roja,2026-03-22,0.0
VD,el Canós,2026-03-22,0.0
VH,Gimenells,2026-03-22,0.0
VK,Raimat,2026-03-22,0.0
VM,Vilanova de Segrià,2026-03-22,0.0
VO,Lladurs,2026-03-22,0.0
VP,Pinós,2026-03-22,1.0
VQ,Constantí,2026-03-22,0.0
VS,Lac Redon (2.245 m),2026-03-22,0.0
VU,Rellinars,2026-03-22,0.2
VV,Sant Llorenç Savall,2026-03-22,0.2
VX,Tagamanent - PN del Montseny,2026-03-22,1.1
VY,Nulles,2026-03-22,0.0
VZ,Espolla,2026-03-22,14.1
W1,Castelló d'Empúries,2026-03-22,6.1
W4,Vilafranca del Penedès - la Granada,2026-03-22,0.0
W5,Oliana,2026-03-22,0.6
W8,Blancafort,2026-03-22,0.0
W9,la Vall d'en Bas,2026-03-22,3.9
WA,Oliola,2026-03-22,0.0
WB,Albesa,2026-03-22,0.0
WC,Golmés,2026-03-22,0.0
WG,Algerri,2026-03-22,0.0
