Codi,Nom,Data,Precipitacio_mm
C6,Castellnou de Seana,2026-05-18,0.0
C7,Tàrrega,2026-05-18,0.0
C8,Cervera,2026-05-18,0.0
C9,Mas de Barberans,2026-05-18,0.0
CC,Orís,2026-05-18,14.2
CD,la Seu d'Urgell - Bellestar,2026-05-18,1.8
CE,els Hostalets de Pierola,2026-05-18,5.4
CG,Molló - Fabert,2026-05-18,7.9
CI,Sant Pau de Segúries,2026-05-18,10.9
CJ,Organyà,2026-05-18,15.8
CL,Sant Salvador de Guardiola,2026-05-18,2.0
CP,Sant Romà d'Abella,2026-05-18,11.9
CQ,Vilanova de Meià,2026-05-18,0.1
CR,la Quar,2026-05-18,1.4
CT,el Pont de Suert,2026-05-18,2.9
CW,l'Espluga de Francolí,2026-05-18,0.0
CY,Muntanyola,2026-05-18,2.2
D1,Margalef,2026-05-18,0.0
D2,Vacarisses,2026-05-18,0.0
D3,Vallirana,2026-05-18,10.0
D4,Roses,2026-05-18,0.1
D5,Barcelona - Observatori Fabra,2026-05-18,33.9
D6,Portbou - coll dels Belitres,2026-05-18,0.6
D7,Vinebre,2026-05-18,0.1
D8,Horta de Sant Joan,2026-05-18,0.0
D9,el Vendrell,2026-05-18,0.4
DB,el Perelló,2026-05-18,0.0
DF,la Bisbal d'Empordà,2026-05-18,10.3
DG,Núria (1.971 m),2026-05-18,1.8
DI,Font-rubí,2026-05-18,1.1
DJ,Banyoles,2026-05-18,9.2
DK,Torredembarra,2026-05-18,0.0
DL,Illa de Buda,2026-05-18,0.0
DN,Anglès,2026-05-18,7.0
DO,Castell d'Aro,2026-05-18,54.9
DP,Das - Aeròdrom,2026-05-18,2.2
DQ,Vila-rodona,2026-05-18,3.9
H1,Òdena,2026-05-18,2.3
J5,Pantà de Darnius - Boadella,2026-05-18,8.4
KE,Pantà de Sau,2026-05-18,14.2
KP,Fogars de la Selva,2026-05-18,7.3
KX,la Roca del Vallès - ETAP Cardedeu,2026-05-18,0.2
M6,Sant Joan de les Abadesses,2026-05-18,9.8
MQ,Cardona,2026-05-18,0.4
MR,Pantà de Siurana,2026-05-18,0.0
MS,Castellar de n'Hug - el Clot del Moro,2026-05-18,5.3
MV,Guixers - Valls,2026-05-18,10.6
MW,Navès,2026-05-18,0.6
U2,Sant Pere Pescador,2026-05-18,1.7
U3,Sant Martí Sarroca,2026-05-18,0.7
U4,Castellnou de Bages,2026-05-18,0.4
U6,Vinyols i els Arcs - Cambrils,2026-05-18,0.0
U7,Aldover,2026-05-18,0.0
U9,l'Aldea,2026-05-18,0.0
UA,l'Ametlla de Mar,2026-05-18,0.0
UB,la Tallada d'Empordà,2026-05-18,6.9
UE,Torroella de Montgrí,2026-05-18,4.9
UF,PN del Garraf - el Rascler,2026-05-18,1.1
UH,el Montmell,2026-05-18,1.8
UI,Gisclareny,2026-05-18,8.7
UJ,Santa Coloma de Queralt,2026-05-18,0.0
UK,Sant Pere de Ribes - PN del Garraf,2026-05-18,6.5
UM,la Granadella,2026-05-18,0.0
UN,Cassà de la Selva,2026-05-18,23.6
UO,Fornells de la Selva,2026-05-18,35.5
UP,Cabrils,2026-05-18,1.2
UQ,Dosrius - PN Montnegre Corredor,2026-05-18,3.2
US,les Cases d'Alcanar,2026-05-18,0.0
UU,Amposta,2026-05-18,0.0
UW,els Alfacs,2026-05-18,0.0
UX,Ulldecona - els Valentins,2026-05-18,0.0
UY,Os de Balaguer - el Monestir d'Avellanes,2026-05-18,0.0
V1,Vallfogona de Balaguer,2026-05-18,0.0
V4,Montesquiu,2026-05-18,5.8
V5,Perafita,2026-05-18,13.8
V8,el Poal,2026-05-18,0.0
VA,Ascó,2026-05-18,0.0
VB,Benissanet,2026-05-18,0.0
VC,Pantà de Riba-roja,2026-05-18,0.0
VD,el Canós,2026-05-18,0.0
VH,Gimenells,2026-05-18,0.0
VK,Raimat,2026-05-18,0.0
VM,Vilanova de Segrià,2026-05-18,0.0
VO,Lladurs,2026-05-18,6.2
VP,Pinós,2026-05-18,0.4
VQ,Constantí,2026-05-18,0.1
VS,Lac Redon (2.245 m),2026-05-18,0.0
VU,Rellinars,2026-05-18,0.8
VV,Sant Llorenç Savall,2026-05-18,3.2
VX,Tagamanent - PN del Montseny,2026-05-18,6.4
VY,Nulles,2026-05-18,7.2
VZ,Espolla,2026-05-18,10.8
W1,Castelló d'Empúries,2026-05-18,1.4
W4,Vilafranca del Penedès - la Granada,2026-05-18,0.0
W5,Oliana,2026-05-18,4.5
W8,Blancafort,2026-05-18,0.0
W9,la Vall d'en Bas,2026-05-18,11.1
WA,Oliola,2026-05-18,0.0
WB,Albesa,2026-05-18,0.0
WC,Golmés,2026-05-18,0.0
WG,Algerri,2026-05-18,0.0
