Codi,Nom,Data,Precipitacio_mm
C6,Castellnou de Seana,2026-05-12,6.8
C7,Tàrrega,2026-05-12,4.9
C8,Cervera,2026-05-12,3.0
C9,Mas de Barberans,2026-05-12,0.2
CC,Orís,2026-05-12,5.0
CD,la Seu d'Urgell - Bellestar,2026-05-12,0.4
CE,els Hostalets de Pierola,2026-05-12,36.8
CG,Molló - Fabert,2026-05-12,24.5
CI,Sant Pau de Segúries,2026-05-12,54.3
CJ,Organyà,2026-05-12,13.2
CL,Sant Salvador de Guardiola,2026-05-12,4.7
CP,Sant Romà d'Abella,2026-05-12,2.6
CQ,Vilanova de Meià,2026-05-12,0.2
CR,la Quar,2026-05-12,10.0
CT,el Pont de Suert,2026-05-12,0.0
CW,l'Espluga de Francolí,2026-05-12,1.0
CY,Muntanyola,2026-05-12,0.3
D1,Margalef,2026-05-12,2.1
D2,Vacarisses,2026-05-12,19.8
D3,Vallirana,2026-05-12,3.3
D4,Roses,2026-05-12,36.6
D5,Barcelona - Observatori Fabra,2026-05-12,17.8
D6,Portbou - coll dels Belitres,2026-05-12,2.9
D8,Horta de Sant Joan,2026-05-12,17.3
D9,el Vendrell,2026-05-12,1.1
DB,el Perelló,2026-05-12,6.1
DF,la Bisbal d'Empordà,2026-05-12,2.5
DG,Núria (1.971 m),2026-05-12,8.7
DI,Font-rubí,2026-05-12,7.8
DJ,Banyoles,2026-05-12,20.2
DK,Torredembarra,2026-05-12,2.0
DL,Illa de Buda,2026-05-12,2.4
DN,Anglès,2026-05-12,0.0
DO,Castell d'Aro,2026-05-12,0.0
DP,Das - Aeròdrom,2026-05-12,9.0
DQ,Vila-rodona,2026-05-12,4.2
H1,Òdena,2026-05-12,8.8
J5,Pantà de Darnius - Boadella,2026-05-12,12.6
KP,Fogars de la Selva,2026-05-12,0.8
KX,la Roca del Vallès - ETAP Cardedeu,2026-05-12,15.0
M6,Sant Joan de les Abadesses,2026-05-12,9.8
MQ,Cardona,2026-05-12,5.8
MR,Pantà de Siurana,2026-05-12,1.5
MS,Castellar de n'Hug - el Clot del Moro,2026-05-12,10.0
MV,Guixers - Valls,2026-05-12,11.9
MW,Navès,2026-05-12,14.3
U2,Sant Pere Pescador,2026-05-12,21.0
U3,Sant Martí Sarroca,2026-05-12,6.2
U4,Castellnou de Bages,2026-05-12,1.9
U6,Vinyols i els Arcs - Cambrils,2026-05-12,8.4
U7,Aldover,2026-05-12,24.1
U9,l'Aldea,2026-05-12,8.2
UA,l'Ametlla de Mar,2026-05-12,5.5
UB,la Tallada d'Empordà,2026-05-12,3.9
UE,Torroella de Montgrí,2026-05-12,13.9
UF,PN del Garraf - el Rascler,2026-05-12,1.4
UH,el Montmell,2026-05-12,5.8
UI,Gisclareny,2026-05-12,8.6
UJ,Santa Coloma de Queralt,2026-05-12,7.8
UK,Sant Pere de Ribes - PN del Garraf,2026-05-12,1.2
UM,la Granadella,2026-05-12,6.6
UN,Cassà de la Selva,2026-05-12,1.8
UO,Fornells de la Selva,2026-05-12,0.0
UP,Cabrils,2026-05-12,5.8
UQ,Dosrius - PN Montnegre Corredor,2026-05-12,9.0
US,les Cases d'Alcanar,2026-05-12,3.5
UU,Amposta,2026-05-12,3.4
UW,els Alfacs,2026-05-12,0.5
UX,Ulldecona - els Valentins,2026-05-12,5.8
UY,Os de Balaguer - el Monestir d'Avellanes,2026-05-12,2.1
V1,Vallfogona de Balaguer,2026-05-12,0.9
V4,Montesquiu,2026-05-12,3.4
V5,Perafita,2026-05-12,6.9
V8,el Poal,2026-05-12,0.7
VA,Ascó,2026-05-12,2.7
VB,Benissanet,2026-05-12,10.7
VC,Pantà de Riba-roja,2026-05-12,0.0
VD,el Canós,2026-05-12,4.7
VH,Gimenells,2026-05-12,3.3
VK,Raimat,2026-05-12,0.4
VM,Vilanova de Segrià,2026-05-12,0.3
VO,Lladurs,2026-05-12,15.1
VP,Pinós,2026-05-12,6.2
VQ,Constantí,2026-05-12,6.7
VS,Lac Redon (2.245 m),2026-05-12,10.6
VU,Rellinars,2026-05-12,36.8
VV,Sant Llorenç Savall,2026-05-12,10.7
VX,Tagamanent - PN del Montseny,2026-05-12,7.7
VY,Nulles,2026-05-12,5.1
VZ,Espolla,2026-05-12,13.2
W1,Castelló d'Empúries,2026-05-12,21.8
W4,Vilafranca del Penedès - la Granada,2026-05-12,3.4
W5,Oliana,2026-05-12,11.0
W8,Blancafort,2026-05-12,6.0
W9,la Vall d'en Bas,2026-05-12,5.2
WA,Oliola,2026-05-12,12.8
WB,Albesa,2026-05-12,0.0
WC,Golmés,2026-05-12,5.5
WG,Algerri,2026-05-12,0.1
WI,Maials,2026-05-12,0.0
WJ,el Masroig,2026-05-12,4.0
WK,Alfarràs,2026-05-12,0.2
WL,Sant Martí de Riucorb,2026-05-12,6.8
WM,Santuari de Queralt,2026-05-12,10.1
WN,Montserrat - Sant Dimes,2026-05-12,52.8
WO,la Bisbal del Penedès,2026-05-12,8.3
WP,Canaletes,2026-05-12,6.4
WQ,Montsec d'Ares (1.571 m),2026-05-12,0.0
WR,Torroja del Priorat,2026-05-12,2.8
WS,Viladrau,2026-05-12,0.5
WT,Malgrat de Mar,2026-05-12,1.1
WU,Badalona - Museu,2026-05-12,6.1
WV,Guardiola de Berguedà,2026-05-12,25.3
WW,Artés,2026-05-12,1.3
WX,Camarasa,2026-05-12,9.2
WZ,Cunit,2026-05-12,0.5
X1,Falset,2026-05-12,4.2
X3,Alguaire,2026-05-12,0.0
X4,Barcelona - el Raval,2026-05-12,17.9
X5,PN dels Ports,2026-05-12,24.5
X6,Baldomar,2026-05-12,2.0
X7,Torres de Segre,2026-05-12,8.6
X8,Barcelona - Zona Universitària,2026-05-12,17.8
X9,Caldes de Montbui,2026-05-12,15.5
XA,la Panadella,2026-05-12,7.2
XB,la Llacuna,2026-05-12,12.5
XC,Castellbisbal,2026-05-12,36.4
XD,Ulldemolins,2026-05-12,3.3
XE,Tarragona - Complex Educatiu,2026-05-12,7.0
XF,Sabadell - Parc Agrari,2026-05-12,6.9
XG,Parets del Vallès,2026-05-12,10.9
XH,Sort,2026-05-12,3.4
XI,Mollerussa,2026-05-12,7.3
XJ,Girona,2026-05-12,1.0
XK,Puig Sesolles (1.666 m),2026-05-12,7.6
XL,el Prat de Llobregat,2026-05-12,2.2
XM,els Alamús,2026-05-12,0.7
XN,Seròs,2026-05-12,0.0
XO,Vic,2026-05-12,0.6
XP,Gandesa,2026-05-12,4.8
XQ,Tremp,2026-05-12,0.0
XR,Prades,2026-05-12,1.9
XS,Santa Coloma de Farners,2026-05-12,0.2
XT,Solsona,2026-05-12,11.7
XU,Canyelles,2026-05-12,0.7
XV,Sant Cugat del Vallès - CAR,2026-05-12,19.0
XX,Anglesola - Tornabous,2026-05-12,7.3
XY,Alcarràs,2026-05-12,8.4
XZ,Torroella de Fluvià,2026-05-12,21.3
Y4,Alinyà,2026-05-12,10.2
Y5,Navata,2026-05-12,32.5
Y6,Tivissa,2026-05-12,12.4
YA,Puigcerdà,2026-05-12,12.3
YB,Olot,2026-05-12,31.1
YC,la Pobla de Segur,2026-05-12,0.2
YD,les Borges Blanques,2026-05-12,16.3
YE,Massoteres,2026-05-12,8.3
YF,Miami Platja,2026-05-12,10.8
YG,Tírvia,2026-05-12,8.4
YH,Pujalt,2026-05-12,5.6
YJ,Lleida - la Femosa,2026-05-12,1.2
YK,Terrassa,2026-05-12,15.4
YL,Riudecanyes,2026-05-12,16.1
YM,Granollers,2026-05-12,14.2
YN,Vielha - Elipòrt,2026-05-12,7.6
YO,Sant Sadurní d'Anoia,2026-05-12,4.7
YP,Palafrugell,2026-05-12,4.7
YQ,Port de Barcelona - ZAL Prat,2026-05-12,0.2
YR,Vilanova i la Geltrú,2026-05-12,0.7
YS,Cabanes,2026-05-12,27.4
YT,Bonabé (1.691 m),2026-05-12,8.3
YU,Cantonigròs,2026-05-12,2.1
YV,Mataró,2026-05-12,9.0
YY,Viladecans - les Filipines,2026-05-12,0.2
Z1,Bonaigua (2.262 m),2026-05-12,4.4
Z2,Boí (2.537 m),2026-05-12,0.6
Z3,Malniu (2.229 m),2026-05-12,8.1
Z5,Certascan (2.398 m),2026-05-12,7.3
Z6,Sasseuva (2.226 m),2026-05-12,16.1
Z7,Espot (2.519 m),2026-05-12,0.0
Z9,Cadí Nord (2.145 m) - Prat d'Aguiló,2026-05-12,6.6
ZB,Salòria (2.451 m),2026-05-12,6.1
ZC,Ulldeter (2.413 m),2026-05-12,23.6
ZE,el Port del Comte (2.288 m),2026-05-12,5.3
