Codi,Nom,Data,Precipitacio_mm
XL,el Prat de Llobregat,2026-05-09,14.5
XM,els Alamús,2026-05-09,0.0
XN,Seròs,2026-05-09,0.0
XO,Vic,2026-05-09,13.2
XP,Gandesa,2026-05-09,0.8
XQ,Tremp,2026-05-09,0.4
XR,Prades,2026-05-09,4.7
XS,Santa Coloma de Farners,2026-05-09,13.1
XT,Solsona,2026-05-09,2.6
XU,Canyelles,2026-05-09,12.0
XV,Sant Cugat del Vallès - CAR,2026-05-09,13.3
XX,Anglesola - Tornabous,2026-05-09,1.0
XY,Alcarràs,2026-05-09,0.0
XZ,Torroella de Fluvià,2026-05-09,13.1
Y4,Alinyà,2026-05-09,2.6
Y5,Navata,2026-05-09,11.8
Y6,Tivissa,2026-05-09,7.7
YA,Puigcerdà,2026-05-09,5.8
YB,Olot,2026-05-09,20.9
YC,la Pobla de Segur,2026-05-09,0.6
YD,les Borges Blanques,2026-05-09,0.9
YE,Massoteres,2026-05-09,2.1
YF,Miami Platja,2026-05-09,12.1
YG,Tírvia,2026-05-09,0.5
YH,Pujalt,2026-05-09,4.8
YJ,Lleida - la Femosa,2026-05-09,0.0
YK,Terrassa,2026-05-09,10.1
YL,Riudecanyes,2026-05-09,11.0
YM,Granollers,2026-05-09,13.8
YN,Vielha - Elipòrt,2026-05-09,0.1
YO,Sant Sadurní d'Anoia,2026-05-09,9.3
YP,Palafrugell,2026-05-09,16.3
YQ,Port de Barcelona - ZAL Prat,2026-05-09,13.2
YR,Vilanova i la Geltrú,2026-05-09,11.2
YS,Cabanes,2026-05-09,9.5
YU,Cantonigròs,2026-05-09,18.7
YV,Mataró,2026-05-09,14.3
YX,Batea,2026-05-09,0.8
YY,Viladecans - les Filipines,2026-05-09,14.0
Z1,Bonaigua (2.262 m),2026-05-09,0.0
Z2,Boí (2.537 m),2026-05-09,2.5
Z3,Malniu (2.229 m),2026-05-09,2.4
Z5,Certascan (2.398 m),2026-05-09,2.4
Z6,Sasseuva (2.226 m),2026-05-09,0.0
Z7,Espot (2.519 m),2026-05-09,0.0
Z9,Cadí Nord (2.145 m) - Prat d'Aguiló,2026-05-09,5.0
ZB,Salòria (2.451 m),2026-05-09,1.6
ZC,Ulldeter (2.413 m),2026-05-09,10.1
ZE,el Port del Comte (2.288 m),2026-05-09,3.2
