Codi,Nom,Data,Precipitacio_mm
C6,Castellnou de Seana,2026-04-13,1.5
C7,Tàrrega,2026-04-13,0.7
C8,Cervera,2026-04-13,0.7
C9,Mas de Barberans,2026-04-13,0.0
CC,Orís,2026-04-13,0.5
CD,la Seu d'Urgell - Bellestar,2026-04-13,0.0
CE,els Hostalets de Pierola,2026-04-13,1.1
CG,Molló - Fabert,2026-04-13,0.2
CI,Sant Pau de Segúries,2026-04-13,0.5
CJ,Organyà,2026-04-13,0.0
CL,Sant Salvador de Guardiola,2026-04-13,2.3
CP,Sant Romà d'Abella,2026-04-13,0.2
CQ,Vilanova de Meià,2026-04-13,0.4
CR,la Quar,2026-04-13,2.5
CT,el Pont de Suert,2026-04-13,0.0
CW,l'Espluga de Francolí,2026-04-13,0.9
CY,Muntanyola,2026-04-13,2.0
D1,Margalef,2026-04-13,5.7
D2,Vacarisses,2026-04-13,2.2
D3,Vallirana,2026-04-13,2.5
D4,Roses,2026-04-13,3.7
D5,Barcelona - Observatori Fabra,2026-04-13,2.6
D6,Portbou - coll dels Belitres,2026-04-13,5.2
D7,Vinebre,2026-04-13,0.0
D8,Horta de Sant Joan,2026-04-13,0.0
D9,el Vendrell,2026-04-13,1.5
DB,el Perelló,2026-04-13,0.1
DF,la Bisbal d'Empordà,2026-04-13,4.9
DG,Núria (1.971 m),2026-04-13,0.0
DI,Font-rubí,2026-04-13,2.8
DJ,Banyoles,2026-04-13,0.5
DK,Torredembarra,2026-04-13,1.8
DL,Illa de Buda,2026-04-13,0.0
DN,Anglès,2026-04-13,0.2
DO,Castell d'Aro,2026-04-13,2.0
DP,Das - Aeròdrom,2026-04-13,0.3
DQ,Vila-rodona,2026-04-13,2.5
H1,Òdena,2026-04-13,2.3
J5,Pantà de Darnius - Boadella,2026-04-13,0.2
KE,Pantà de Sau,2026-04-13,0.7
KP,Fogars de la Selva,2026-04-13,0.0
KX,la Roca del Vallès - ETAP Cardedeu,2026-04-13,1.1
M6,Sant Joan de les Abadesses,2026-04-13,1.3
MQ,Cardona,2026-04-13,1.1
MR,Pantà de Siurana,2026-04-13,3.5
MS,Castellar de n'Hug - el Clot del Moro,2026-04-13,1.5
MV,Guixers - Valls,2026-04-13,0.7
MW,Navès,2026-04-13,0.2
U2,Sant Pere Pescador,2026-04-13,2.0
U3,Sant Martí Sarroca,2026-04-13,3.3
U4,Castellnou de Bages,2026-04-13,3.0
U6,Vinyols i els Arcs - Cambrils,2026-04-13,0.2
U7,Aldover,2026-04-13,0.0
U9,l'Aldea,2026-04-13,0.0
UA,l'Ametlla de Mar,2026-04-13,1.1
UB,la Tallada d'Empordà,2026-04-13,4.2
UE,Torroella de Montgrí,2026-04-13,6.5
UF,PN del Garraf - el Rascler,2026-04-13,5.3
UH,el Montmell,2026-04-13,3.0
UI,Gisclareny,2026-04-13,1.8
UJ,Santa Coloma de Queralt,2026-04-13,2.0
UK,Sant Pere de Ribes - PN del Garraf,2026-04-13,2.6
UM,la Granadella,2026-04-13,5.4
UN,Cassà de la Selva,2026-04-13,3.3
UO,Fornells de la Selva,2026-04-13,1.7
UP,Cabrils,2026-04-13,0.8
UQ,Dosrius - PN Montnegre Corredor,2026-04-13,0.8
US,les Cases d'Alcanar,2026-04-13,0.0
UU,Amposta,2026-04-13,0.0
UW,els Alfacs,2026-04-13,0.0
UX,Ulldecona - els Valentins,2026-04-13,0.0
UY,Os de Balaguer - el Monestir d'Avellanes,2026-04-13,1.8
V1,Vallfogona de Balaguer,2026-04-13,1.1
V4,Montesquiu,2026-04-13,0.6
V5,Perafita,2026-04-13,1.8
V8,el Poal,2026-04-13,1.3
VA,Ascó,2026-04-13,0.0
VB,Benissanet,2026-04-13,0.0
VC,Pantà de Riba-roja,2026-04-13,0.0
VD,el Canós,2026-04-13,0.5
VH,Gimenells,2026-04-13,1.0
VK,Raimat,2026-04-13,0.8
VM,Vilanova de Segrià,2026-04-13,1.6
VO,Lladurs,2026-04-13,0.1
VP,Pinós,2026-04-13,1.6
