Codi,Nom,Data,Precipitacio_mm
C6,Castellnou de Seana,2026-05-10,8.9
C7,Tàrrega,2026-05-10,7.9
C8,Cervera,2026-05-10,8.7
C9,Mas de Barberans,2026-05-10,3.1
CC,Orís,2026-05-10,0.0
CD,la Seu d'Urgell - Bellestar,2026-05-10,0.9
CE,els Hostalets de Pierola,2026-05-10,0.1
CG,Molló - Fabert,2026-05-10,0.0
CI,Sant Pau de Segúries,2026-05-10,0.1
CJ,Organyà,2026-05-10,1.3
CL,Sant Salvador de Guardiola,2026-05-10,0.4
CP,Sant Romà d'Abella,2026-05-10,5.9
CQ,Vilanova de Meià,2026-05-10,2.1
CR,la Quar,2026-05-10,0.2
CT,el Pont de Suert,2026-05-10,0.9
CW,l'Espluga de Francolí,2026-05-10,0.6
CY,Muntanyola,2026-05-10,0.1
D1,Margalef,2026-05-10,0.4
D2,Vacarisses,2026-05-10,0.1
D3,Vallirana,2026-05-10,0.1
D4,Roses,2026-05-10,0.2
D5,Barcelona - Observatori Fabra,2026-05-10,0.1
D6,Portbou - coll dels Belitres,2026-05-10,0.1
D7,Vinebre,2026-05-10,1.0
D8,Horta de Sant Joan,2026-05-10,1.3
D9,el Vendrell,2026-05-10,0.1
DB,el Perelló,2026-05-10,1.4
DF,la Bisbal d'Empordà,2026-05-10,0.1
DG,Núria (1.971 m),2026-05-10,0.0
DI,Font-rubí,2026-05-10,0.0
DJ,Banyoles,2026-05-10,0.3
DK,Torredembarra,2026-05-10,0.4
DL,Illa de Buda,2026-05-10,0.1
DN,Anglès,2026-05-10,0.1
DO,Castell d'Aro,2026-05-10,0.1
DP,Das - Aeròdrom,2026-05-10,0.5
DQ,Vila-rodona,2026-05-10,1.0
H1,Òdena,2026-05-10,0.1
J5,Pantà de Darnius - Boadella,2026-05-10,0.1
KE,Pantà de Sau,2026-05-10,0.0
KP,Fogars de la Selva,2026-05-10,0.3
KX,la Roca del Vallès - ETAP Cardedeu,2026-05-10,0.0
M6,Sant Joan de les Abadesses,2026-05-10,0.1
MQ,Cardona,2026-05-10,1.6
MR,Pantà de Siurana,2026-05-10,0.4
MS,Castellar de n'Hug - el Clot del Moro,2026-05-10,0.0
MV,Guixers - Valls,2026-05-10,0.3
MW,Navès,2026-05-10,0.6
U2,Sant Pere Pescador,2026-05-10,0.2
U3,Sant Martí Sarroca,2026-05-10,0.1
U4,Castellnou de Bages,2026-05-10,2.8
U6,Vinyols i els Arcs - Cambrils,2026-05-10,1.6
U7,Aldover,2026-05-10,3.0
U9,l'Aldea,2026-05-10,3.0
UA,l'Ametlla de Mar,2026-05-10,4.1
UB,la Tallada d'Empordà,2026-05-10,0.1
UE,Torroella de Montgrí,2026-05-10,0.0
UF,PN del Garraf - el Rascler,2026-05-10,0.1
UH,el Montmell,2026-05-10,1.8
UI,Gisclareny,2026-05-10,0.3
UJ,Santa Coloma de Queralt,2026-05-10,0.2
UK,Sant Pere de Ribes - PN del Garraf,2026-05-10,0.3
UM,la Granadella,2026-05-10,5.2
UN,Cassà de la Selva,2026-05-10,0.2
UO,Fornells de la Selva,2026-05-10,0.1
UP,Cabrils,2026-05-10,0.0
UQ,Dosrius - PN Montnegre Corredor,2026-05-10,0.1
US,les Cases d'Alcanar,2026-05-10,0.1
UU,Amposta,2026-05-10,0.1
UW,els Alfacs,2026-05-10,0.1
UX,Ulldecona - els Valentins,2026-05-10,0.9
UY,Os de Balaguer - el Monestir d'Avellanes,2026-05-10,1.5
V1,Vallfogona de Balaguer,2026-05-10,4.4
V4,Montesquiu,2026-05-10,0.1
V5,Perafita,2026-05-10,0.1
V8,el Poal,2026-05-10,6.2
VA,Ascó,2026-05-10,0.8
VB,Benissanet,2026-05-10,2.1
VC,Pantà de Riba-roja,2026-05-10,1.7
VD,el Canós,2026-05-10,6.4
VH,Gimenells,2026-05-10,2.1
VK,Raimat,2026-05-10,1.8
VM,Vilanova de Segrià,2026-05-10,4.6
VO,Lladurs,2026-05-10,1.2
VP,Pinós,2026-05-10,4.1
VQ,Constantí,2026-05-10,2.7
VS,Lac Redon (2.245 m),2026-05-10,0.0
VU,Rellinars,2026-05-10,0.2
VV,Sant Llorenç Savall,2026-05-10,0.1
VX,Tagamanent - PN del Montseny,2026-05-10,0.1
VY,Nulles,2026-05-10,2.2
VZ,Espolla,2026-05-10,0.0
W1,Castelló d'Empúries,2026-05-10,0.1
W4,Vilafranca del Penedès - la Granada,2026-05-10,0.2
W5,Oliana,2026-05-10,0.8
W8,Blancafort,2026-05-10,0.7
W9,la Vall d'en Bas,2026-05-10,0.0
WA,Oliola,2026-05-10,2.8
WB,Albesa,2026-05-10,2.3
WC,Golmés,2026-05-10,5.6
WG,Algerri,2026-05-10,0.9
WI,Maials,2026-05-10,11.7
WJ,el Masroig,2026-05-10,0.8
WK,Alfarràs,2026-05-10,2.5
WL,Sant Martí de Riucorb,2026-05-10,15.6
